INSTANCE,NR_SEQUENCES,MEAN_SEQ_LENGTH,NR_CLUSTERS_BEFORE_MINCLUSTERS,NR_CLUSTERS_MINCLUSTERS,TIME_TRACING_MINCLUSTERS,NR_SHARED_HOMOLOGIES_MINCLUSTERS,NR_HOMOLOGIES_REF,NR_HOMOLOGIES_MINCLUSTERS,NR_ALIGNED_COLS_REF,NR_ALIGNED_COLS_MINCLUSTERS,SPFN_MINCLUSTERS,SPFP_MINCLUSTERS,NR_CLUSTERS_BEFORE_CP,NR_CLUSTERS_CP,TIME_TRACING_CP,NR_SHARED_HOMOLOGIES_CP,NR_HOMOLOGIES_CP,NR_ALIGNED_COLS_CP,SPFN_CP,SPFP_CP
ROSE-1000S1-R9-rose.aln.true.fasta,1000,156.291,156,156,0.022295236587524414,52914529,77261787,75841881,245,500,0.3151267780021707,0.30230463297712773,156,156,36.58058738708496,52914529,75841881,500,0.3151267780021707,0.30230463297712773
ROSE-1000M2-R17-rose.aln.true.fasta,1000,90.781,90,90,0.013211727142333984,36426561,44722487,44301225,212,311,0.18549786822007464,0.1777527370857126,90,90,14.468471765518188,36426561,44301225,311,0.18549786822007464,0.1777527370857126
ROSE-1000M4-R8-rose.aln.true.fasta,1000,136.718,140,141,0.013245344161987305,66932948,67686663,67549816,229,226,0.011135354685752441,0.009132045600242611,140,141,29.097893714904785,66932948,67549816,226,0.011135354685752441,0.009132045600242611
ROSE-1000L1-R18-rose.aln.true.fasta,1000,61.508,61,61,0.026569366455078125,15648845,30316040,28028399,123,386,0.4838097258085159,0.4416789556906193,61,61,5.95818567276001,15648845,28028399,386,0.4838097258085159,0.4416789556906193
ROSE-1000M1-R2-rose.aln.true.fasta,1000,69.082,69,69,0.025617361068725586,25592961,33908928,33277051,171,306,0.24524417286208522,0.2309125889791136,69,69,7.7718825340271,25592961,33277051,306,0.24524417286208522,0.2309125889791136
ROSE-1000L2-R3-rose.aln.true.fasta,1000,158.011,154,154,0.019817590713500977,63683440,77354364,76113504,246,465,0.17673112792964074,0.16330957513137223,154,154,36.39023494720459,63683440,76113504,465,0.17673112792964074,0.16330957513137223
ROSE-1000S3-R5-rose.aln.true.fasta,1000,208.477,211,211,0.01987004280090332,95769020,103372263,103361491,244,282,0.07355206105916434,0.0734555096539774,211,211,66.98107624053955,95769020,103361491,282,0.07355206105916434,0.0734555096539774
ROSE-1000S1-R19-rose.aln.true.fasta,1000,162.428,162,171,0.040992021560668945,27270011,80095428,68076429,233,881,0.6595309909574365,0.5994206599761571,162,171,13986.627321720123,27270011,68076429,881,0.6595309909574365,0.5994206599761571
ROSE-1000S3-R19-rose.aln.true.fasta,1000,166.017,164,164,0.01883721351623535,74770261,81969141,81591748,240,297,0.08782427035559637,0.0836051091833454,164,164,45.34346961975098,74770261,81591748,297,0.08782427035559637,0.0836051091833454
ROSE-1000L2-R2-rose.aln.true.fasta,1000,132.201,132,132,0.020701885223388672,47913642,65791266,63226161,204,592,0.2717324819376481,0.24218644241265885,132,132,25.804237842559814,47913642,63226161,592,0.2717324819376481,0.24218644241265885
